# Read 95 values from z input file. Min z: 0.188285, max z: 4.568630
# 0.800000  0.060046  0.935723  0.056186  0.016018

# z   Omega_HI   bias   T [mK]
0.188285  0.000936  0.770430  1.648626E-01
0.198312  0.000937  0.773447  1.671647E-01
0.208511  0.000939  0.776549  1.695057E-01
0.218884  0.000930  0.776716  1.698505E-01
0.229437  0.000938  0.778935  1.732997E-01
0.240175  0.000940  0.782264  1.757503E-01
0.251101  0.000942  0.785688  1.782414E-01
0.262222  0.000933  0.786116  1.786450E-01
0.273543  0.000940  0.788643  1.823073E-01
0.285068  0.000942  0.792330  1.849140E-01
0.296804  0.000944  0.796126  1.875634E-01
0.308756  0.000935  0.796854  1.880291E-01
0.320930  0.000943  0.799737  1.919164E-01
0.333333  0.000945  0.803836  1.946870E-01
0.345972  0.000947  0.808062  1.975019E-01
0.358852  0.000944  0.807996  1.992614E-01
0.371981  0.000946  0.812433  2.021570E-01
0.385366  0.000949  0.817010  2.050979E-01
0.399015  0.000940  0.818384  2.056785E-01
0.412935  0.000948  0.822021  2.099844E-01
0.427136  0.000950  0.826992  2.130546E-01
0.441624  0.000941  0.828699  2.136859E-01
0.456410  0.000949  0.832720  2.181791E-01
0.471503  0.000952  0.838134  2.213809E-01
0.486911  0.000954  0.843731  2.246289E-01
0.502646  0.000951  0.844671  2.267488E-01
0.518717  0.000953  0.850583  2.300832E-01
0.535135  0.000956  0.856700  2.334638E-01
0.551913  0.000953  0.858033  2.356978E-01
0.569061  0.000955  0.864508  2.391650E-01
0.586592  0.000958  0.871215  2.426777E-01
0.604520  0.000955  0.872995  2.450275E-01
0.622857  0.000957  0.880109  2.486256E-01
0.641618  0.000959  0.887485  2.522676E-01
0.660819  0.000957  0.889777  2.547339E-01
0.680473  0.000959  0.897619  2.584588E-01
0.700599  0.000961  0.905758  2.622252E-01
0.721212  0.000959  0.908639  2.648063E-01
0.742331  0.000961  0.917311  2.686510E-01
0.763975  0.000952  0.922209  2.695532E-01
0.786164  0.000961  0.929885  2.752260E-01
0.808917  0.000963  0.939512  2.791793E-01
0.832258  0.000960  0.943577  2.819428E-01
0.856209  0.000962  0.953879  2.859620E-01
0.880795  0.000953  0.960232  2.868994E-01
0.906040  0.000961  0.969544  2.928704E-01
0.931973  0.000963  0.981054  2.969694E-01
0.958621  0.000961  0.986642  2.998913E-01
0.986014  0.000962  0.999016  3.040325E-01
1.014180  0.000953  1.007244  3.049581E-01
1.043170  0.000961  1.018658  3.111783E-01
1.072990  0.000962  1.032581  3.153483E-01
1.103700  0.000959  1.040157  3.183796E-01
1.135340  0.000960  1.055209  3.225537E-01
1.167940  0.000957  1.063738  3.256090E-01
1.201550  0.000957  1.080039  3.297627E-01
1.236220  0.000954  1.089636  3.328258E-01
1.272000  0.000954  1.107335  3.369336E-01
1.308940  0.000951  1.118132  3.399833E-01
1.347110  0.000950  1.137399  3.440133E-01
1.386550  0.000940  1.152068  3.445866E-01
1.427350  0.000945  1.170578  3.509359E-01
1.469570  0.000941  1.184274  3.538766E-01
1.513270  0.000939  1.207279  3.576221E-01
1.558560  0.000935  1.222725  3.604521E-01
1.605500  0.000932  1.247977  3.639747E-01
1.654210  0.000927  1.265424  3.666446E-01
1.704760  0.000923  1.293228  3.698741E-01
1.757280  0.000917  1.312961  3.723223E-01
1.811880  0.000904  1.337195  3.718572E-01
1.868690  0.000906  1.366057  3.773266E-01
1.927840  0.000899  1.389805  3.793273E-01
1.989470  0.000892  1.425537  3.814621E-01
2.053760  0.000884  1.452566  3.830257E-01
2.120880  0.000875  1.481321  3.843632E-01
2.191010  0.000865  1.523272  3.854970E-01
2.264370  0.000855  1.556154  3.862072E-01
2.341180  0.000844  1.591225  3.865894E-01
2.421690  0.000832  1.640971  3.863489E-01
2.506170  0.000819  1.681297  3.858508E-01
2.594940  0.000805  1.724454  3.848882E-01
2.688310  0.000790  1.770681  3.834090E-01
2.786670  0.000767  1.825912  3.780212E-01
2.890410  0.000755  1.887706  3.778044E-01
3.000000  0.000736  1.945411  3.742801E-01
3.115940  0.000716  2.007567  3.699744E-01
3.238810  0.000695  2.074632  3.648094E-01
3.369230  0.000672  2.147103  3.587045E-01
3.507940  0.000648  2.225570  3.515735E-01
3.655740  0.000622  2.310683  3.433299E-01
3.813560  0.000594  2.403193  3.338853E-01
3.982460  0.000564  2.503969  3.231538E-01
4.163640  0.000533  2.613997  3.110558E-01
4.358490  0.000500  2.734431  2.975221E-01
4.568630  0.000465  2.866626  2.824991E-01
